path,class,split,source_fold
claxon/1-17124-A-43.wav,claxon,train,1
claxon/1-19026-A-43.wav,claxon,train,1
claxon/1-24074-A-43.wav,claxon,train,1
claxon/1-24076-A-43.wav,claxon,train,1
claxon/1-254507-A-43.wav,claxon,train,1
claxon/1-26176-A-43.wav,claxon,train,1
claxon/1-26177-A-43.wav,claxon,train,1
claxon/1-28808-A-43.wav,claxon,train,1
claxon/2-100648-A-43.wav,claxon,train,2
claxon/2-125520-A-43.wav,claxon,train,2
claxon/2-128465-A-43.wav,claxon,train,2
claxon/2-128465-B-43.wav,claxon,train,2
claxon/2-138465-A-43.wav,claxon,train,2
claxon/2-144137-A-43.wav,claxon,train,2
claxon/2-42101-A-43.wav,claxon,train,2
claxon/2-54086-A-43.wav,claxon,train,2
claxon/3-145577-A-43.wav,claxon,train,3
claxon/3-146697-A-43.wav,claxon,train,3
claxon/3-153057-A-43.wav,claxon,train,3
claxon/3-155130-A-43.wav,claxon,train,3
claxon/3-155234-A-43.wav,claxon,train,3
claxon/3-161010-A-43.wav,claxon,train,3
claxon/3-174840-A-43.wav,claxon,train,3
claxon/3-243726-A-43.wav,claxon,train,3
claxon/4-175845-A-43.wav,claxon,validation,4
claxon/4-175846-A-43.wav,claxon,validation,4
claxon/4-175855-A-43.wav,claxon,validation,4
claxon/4-175856-A-43.wav,claxon,validation,4
claxon/4-176631-A-43.wav,claxon,validation,4
claxon/4-176638-A-43.wav,claxon,validation,4
claxon/4-178402-A-43.wav,claxon,validation,4
claxon/4-191015-A-43.wav,claxon,validation,4
claxon/5-179860-A-43.wav,claxon,test,5
claxon/5-179863-A-43.wav,claxon,test,5
claxon/5-179865-A-43.wav,claxon,test,5
claxon/5-179866-A-43.wav,claxon,test,5
claxon/5-179868-A-43.wav,claxon,test,5
claxon/5-180156-A-43.wav,claxon,test,5
claxon/5-180156-B-43.wav,claxon,test,5
claxon/5-180156-C-43.wav,claxon,test,5
ladrido/1-100032-A-0.wav,ladrido,train,1
ladrido/1-110389-A-0.wav,ladrido,train,1
ladrido/1-30226-A-0.wav,ladrido,train,1
ladrido/1-30344-A-0.wav,ladrido,train,1
ladrido/1-32318-A-0.wav,ladrido,train,1
ladrido/1-59513-A-0.wav,ladrido,train,1
ladrido/1-85362-A-0.wav,ladrido,train,1
ladrido/1-97392-A-0.wav,ladrido,train,1
ladrido/2-114280-A-0.wav,ladrido,train,2
ladrido/2-114587-A-0.wav,ladrido,train,2
ladrido/2-116400-A-0.wav,ladrido,train,2
ladrido/2-117271-A-0.wav,ladrido,train,2
ladrido/2-118072-A-0.wav,ladrido,train,2
ladrido/2-118964-A-0.wav,ladrido,train,2
ladrido/2-122104-A-0.wav,ladrido,train,2
ladrido/2-122104-B-0.wav,ladrido,train,2
ladrido/3-136288-A-0.wav,ladrido,train,3
